NOME,VALOR[R$],TIPO,AREA[M2],QUARTOS,BANHEIROS,VAGAS GARAGEM,CONDOMINIO[R$],IPTU[R$],LOGRADOURO,MUNICIPIO,BAIRRO,CEP,IMAGENS,CODIGO,DATA_ANUNCIO,LINK,GASTOS_ANO[R$],Academia,Ar condicionado,Armários na cozinha,Armários no quarto,Churrasqueira,Condomínio fechado,Elevador,Mobiliado,Permitido animais,Piscina,Portaria,Porteiro 24h,Quarto de serviço,Salão de festas,Segurança 24h,Varanda,Área de serviço,Portão eletrônico,Área murada,LATITUDE,LONGITUDE
"Casa residencial com 3 quartos no bairro Vargem do Bom Jesus em Florianópolis, 290m²",10000.0,Casa em rua pública,290,3,4,2,0,128,Rua Recanto das Borboletas,Florianópolis,Vargem do Bom Jesus,88058060,20.0,1110583015,01/03 às 17:32,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-residencial-com-3-quartos-no-bairro-vargem-do-bom-jesus-em-florianopolis-290m-1110583015,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
"APARTAMENTO TEMPORADA em FLORIANÓPOLIS - SC, INGLESES DO RIO VERMELHO",600.0,Apartamento padrão,80,2,2,1,0,0,Rua das Gaivotas,Florianópolis,Ingleses do Rio Vermelho,88058500,20.0,994844917,01/03 às 18:02,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-temporada-em-florianopolis-sc-ingleses-do-rio-vermelho-994844917,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,-27.4338932,-48.3936171
FLORIANóPOLIS - Apartamento Padrão - João Paulo,8700.0,Apartamento padrão,85,2,2,1,546,145,Rodovia João Paulo - até 1499/1500,Florianópolis,João Paulo,88030300,20.0,1153466333,01/03 às 20:38,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-apartamento-padrao-joao-paulo-1153466333,6697,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,
FLORIANóPOLIS - Apartamento Padrão - João Paulo,7300.0,Apartamento padrão,183,3,3,3,1573,0,Rodovia João Paulo - até 1499/1500,Florianópolis,João Paulo,88030300,14.0,1153472663,01/03 às 20:46,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-apartamento-padrao-joao-paulo-1153472663,18876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Casa Novo Campeche,18500.0,Casa em rua pública,300,4,5 ou mais,2,0,10,Rua Antônio José Thomaz da Costa,Florianópolis,Campeche,88063610,14.0,1153474059,01/03 às 20:50,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-novo-campeche-1153474059,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.6644875,-48.479429
FLORIANóPOLIS - Apartamento Padrão - Ingleses do Rio Vermelho,2500.0,Apartamento padrão,68,2,2,1,180,0,Rua Dário Manoel Cardoso,Florianópolis,Ingleses do Rio Vermelho,88058400,14.0,1153475034,01/03 às 20:52,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-apartamento-padrao-ingleses-do-rio-vermelho-1153475034,2160,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,
FLORIANóPOLIS - Apartamento Padrão - Capoeiras,1490.0,Apartamento padrão,21,1,1,1,250,0,Rua Irmã Bonavita - até 549/550,Florianópolis,Capoeiras,88090150,11.0,1143663328,01/03 às 21:14,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-apartamento-padrao-capoeiras-1143663328,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
Simone - Apto 403,3500.0,Apartamento padrão,110,3,2,2,959,322,Rua Presidente Nereu Ramos,Florianópolis,Centro,88015010,20.0,1093228789,01/03 às 21:40,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/simone-apto-403-1093228789,11830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.5943219,-48.5502496
Casa em alvenaria SÃO JOSÉ - SC,3000.0,Casa em rua pública,130,3,1,2,0,110,Rua Coronel Américo - até 1149/1150,São José,Barreiros,88117310,20.0,1153496546,01/03 às 21:49,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-em-alvenaria-sao-jose-sc-1153496546,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
PALHOçA - Apartamento Padrão - Barra do Aririú,1200.0,Apartamento padrão,54,2,1,1,0,39,Rua Vereadora Olívia Emília Guedert Brum (Loteamento Vila Nova),Palhoça,Barra do Aririú,88134120,19.0,1153498139,01/03 às 21:55,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/palhoca-apartamento-padrao-barra-do-aririu-1153498139,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-27.6791742,-48.6592053
"Casa com 6 dormitórios, piscina para alugar, 400 m² por R$ 2.150/dia - Daniela - Florianóp",2150.0,Casa em rua pública,400,5 ou mais,5 ou mais,2,0,0,Avenida das Paineiras,Florianópolis,Daniela,88053060,17.0,1066881162,01/03 às 22:12,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-com-6-dormitorios-piscina-para-alugar-400-m-por-r-2-150-dia-daniela-florianop-1066881162,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,-27.4495296,-48.5310587
PALHOçA - Apartamento Padrão - Aririú,1200.0,Apartamento padrão,53,2,1,1,278,55,Rua Geraldo Henrique Nienkoetter,Palhoça,Aririú,88135025,18.0,1153506631,01/03 às 22:12,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/palhoca-apartamento-padrao-aririu-1153506631,3391,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-27.6661141,-48.6794805
FLORIANóPOLIS - Casa Padrão - Santa Mônica,21000.0,Casa em rua pública,698,5 ou mais,5 ou mais,5 ou mais,0,3200,Rua Professor Paulo Roberto Martins,Florianópolis,Santa Mônica,88035240,18.0,1012239941,01/03 às 22:40,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-casa-padrao-santa-monica-1012239941,3200,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-27.5918035,-48.5105297
SãO JOSé - Apartamento Padrão - Serraria,4000.0,Apartamento padrão,113,3,2,2,790,156,"Rodovia BR-101 - até km 201,260",São José,Serraria,88115100,21.0,1153519801,01/03 às 22:48,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/sao-jose-apartamento-padrao-serraria-1153519801,9636,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
"Casa para Aluguel - Itacorubi, 5 Quartos,  350 m2",12500.0,Casa em rua pública,350,5 ou mais,5 ou mais,2,0,182,Rua Itabira,Florianópolis,Itacorubi,88034460,21.0,1153520127,01/03 às 22:49,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-para-aluguel-itacorubi-5-quartos-350-m2-1153520127,182,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-27.5933424,-48.4994496
FLORIANóPOLIS - Casa Padrão - Saco Dos Limões,2100.0,Casa em rua pública,62,2,1,1,0,16,Rua João Medeiros Júnior,Florianópolis,Saco dos Limões,88045470,16.0,1127206119,01/03 às 22:56,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-casa-padrao-saco-dos-limoes-1127206119,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-27.6120285,-48.5278008
Belíssima casa no bairro Rio Tavares em Florianópolis com vista incrível para o Mar e natu,8500.0,Casa em rua pública,396,4,5 ou mais,2,0,307,Rodovia Doutor Antônio Luiz Moura Gonzaga - até 2545/2546,Florianópolis,Rio Tavares,88048300,20.0,1113682433,01/03 às 23:57,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/belissima-casa-no-bairro-rio-tavares-em-florianopolis-com-vista-incrivel-para-o-mar-e-natu-1113682433,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
FLORIANóPOLIS - Casa Padrão - Campeche,6300.0,Casa em rua pública,200,4,3,2,0,250,Servidão Placido Ferreira da Rocha,Florianópolis,Campeche,88063043,20.0,1153537839,02/03 às 00:13,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-casa-padrao-campeche-1153537839,250,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,-27.6798452,-48.4939349
FLORIANóPOLIS - Casa Padrão - Campeche,5800.0,Casa em rua pública,130,3,3,3,0,61,Rua Cipreste,Florianópolis,Campeche,88066132,20.0,1153537936,02/03 às 00:13,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-casa-padrao-campeche-1153537936,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-27.701921,-48.4968787
FLORIANóPOLIS - Casa Padrão - Campeche,7000.0,Casa em rua pública,180,3,3,2,0,200,Rua Laurindo Januário da Silveira - de 1032/1033 ao fim,Florianópolis,Lagoa da Conceição,88062201,20.0,1153537999,02/03 às 00:14,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-casa-padrao-campeche-1153537999,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Terra nova I - casa 309,1500.0,Casa em rua pública,68,2,1,2,203,28,Avenida Paulo Roberto Vidal,Palhoça,Bela Vista,88132599,20.0,1153539669,02/03 às 00:25,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/terra-nova-i-casa-309-1153539669,2464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.6498388,-48.6936875
FLORIANóPOLIS - Casa Padrão - Agronômica,7200.0,Casa em rua pública,189,3,3,3,0,300,Rua Embaixador Edmundo da Luz Pinto,Florianópolis,Agronômica,88025050,20.0,1153547976,02/03 às 02:53,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-casa-padrao-agronomica-1153547976,300,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-27.5805029,-48.5411181
FLORIANóPOLIS - Apartamento Padrão - Jurerê Internacional,10000.0,Apartamento padrão,112,3,4,2,1500,250,Avenida dos Búzios - de 1401/1402 ao fim,Florianópolis,Jurerê Internacional,88053301,20.0,1153553813,02/03 às 04:13,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-apartamento-padrao-jurere-internacional-1153553813,18250,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,,
Excelente oportunidade para locação em Areias São José,2300.0,Apartamento padrão,71,2,1,2,250,800,Rua Pedro Antunes Ezequiel,São José,Areias,88113870,19.0,1153558460,02/03 às 05:07,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/excelente-oportunidade-para-locacao-em-areias-sao-jose-1153558460,3800,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-27.5574853,-48.6344755
FLORIANóPOLIS - Apartamento Padrão - Centro,5100.0,Apartamento padrão,53,1,1,1,500,207,Rua Felipe Schmidt - até 348/349,Florianópolis,Centro,88010000,21.0,1153562282,02/03 às 05:56,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-apartamento-padrao-centro-1153562282,6207,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,,
FLORIANóPOLIS - Apartamento Padrão - Centro,5100.0,Apartamento padrão,53,1,1,1,600,264,Rua Felipe Schmidt - até 348/349,Florianópolis,Centro,88010000,21.0,1153587964,02/03 às 07:34,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-apartamento-padrao-centro-1153587964,7464,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,,
Lindo apartamento 127m2 totalmente mobiliado,5350.0,Apartamento padrão,127,3,3,1,700,1200,Rua Moura,São José,Barreiros,88117250,14.0,1153592952,02/03 às 07:57,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/lindo-apartamento-127m2-totalmente-mobiliado-1153592952,9600,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,-27.5727188,-48.6007345
Excelente apartamento de 1 quarto no bairro Campeche em Florianópolis,4100.0,Apartamento padrão,37,1,1,1,500,102,Avenida Campeche - até 2501/2502,Florianópolis,Campeche,88063300,3.0,1153598897,02/03 às 08:14,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/excelente-apartamento-de-1-quarto-no-bairro-campeche-em-florianopolis-1153598897,6102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
APARTAMENTO COM 1 SUÍTE NO CENTRO DE FLORIANÓPOLIS!,1750.0,Apartamento padrão,31,1,2,1,1310,179,Rua Frei Evaristo,Florianópolis,Centro,88015410,16.0,1153604859,02/03 às 08:28,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-com-1-suite-no-centro-de-florianopolis-1153604859,15899,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-27.5890138,-48.5441045
"Apartamento 3 quartos (1 suíte) no bairro balneário em florianópolis, 123,64m²",10900.0,Apartamento padrão,124,3,2,1,680,291,Rua Osvaldo Cruz,Florianópolis,Balneário,88075270,20.0,1153620269,02/03 às 09:01,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-3-quartos-1-suite-no-bairro-balneario-em-florianopolis-123-64m-1153620269,8451,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,
Casa Rio Tavares,3500.0,Casa em rua pública,75,2,1,1,0,206,Rua Reverendo Gelson dos Santos Castro,Florianópolis,Rio Tavares,88048340,11.0,1141636350,02/03 às 09:35,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-rio-tavares-1141636350,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.6625593,-48.4885038
"Studio com garagem para locação perto da UFSC - Trindade, Florianópolis, SC",3780.0,Apartamento kitchenette,28,1,1,1,0,0,Rua Marcus Aurélio Homem,Florianópolis,Carvoeira,88040440,21.0,1153663903,02/03 às 10:18,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/studio-com-garagem-para-locacao-perto-da-ufsc-trindade-florianopolis-sc-1153663903,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-27.5973128,-48.5272299
Apartamento em Centro  -  Tubarão,2950.0,Apartamento padrão,127,3,2,2,250,222,Rua Santos Dumont - até 338 - lado par,Tubarão,Centro,88701370,20.0,1153676623,02/03 às 10:36,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-em-centro--tubarao-1153676623,3222,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,,
Apartamento para locação no Centro  -  Tubarão,1545.0,Apartamento padrão,114,2,2,1,350,210,Rua Felipe Schmidt - lado par,Criciúma,Centro,88801240,20.0,1153681780,02/03 às 10:38,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-para-locacao-no-centro--tubarao-1153681780,4410,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,,
"Casa geminada com 3 quartos semi mobiliada - Centro, Tubarão",2200.0,Casa em rua pública,108,3,2,1,100,85,Rua Manoel Antunes Corrêa - de 0763/764 a 1018/1019,Tubarão,Centro,88701350,20.0,1153681817,02/03 às 10:38,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-geminada-com-3-quartos-semi-mobiliada-centro-tubarao-1153681817,1285,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,
"Apartamento de 2 dormitórios semimobiliado no Kobrasol - R$1.650,00 + taxas.",1650.0,Apartamento padrão,54,2,1,1,425,58,Rua Delamar José da Silva - lado par,São José,Kobrasol,88102100,13.0,1153685005,02/03 às 10:44,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-de-2-dormitorios-semimobiliado-no-kobrasol-r-1-650-00-taxas-1153685005,5158,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
apartamento 4 QUARTOS NO bairro CENTRO em FLORIANÓPOLIS,6300.0,Apartamento padrão,297,4,4,3,4500,1567,Avenida Jornalista Rubens de Arruda Ramos - de 2140/2141 ao fim,Florianópolis,Centro,88015702,21.0,1088010447,02/03 às 11:23,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-4-quartos-no-bairro-centro-em-florianopolis-1088010447,55567,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,
FLORIANóPOLIS - Casa Padrão - Jurerê Internacional,35000.0,Casa em rua pública,880,5 ou mais,5 ou mais,5 ou mais,0,880,Rua dos Camuris,Florianópolis,Jurerê Internacional,88053408,21.0,1110595563,02/03 às 13:31,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-casa-padrao-jurere-internacional-1110595563,880,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-27.4443124,-48.5000168
Aluguel por diária em Canasvieiras,400.0,Apartamento padrão,42,1,1,1,0,0,Avenida das Nações,Florianópolis,Canasvieiras,88054010,16.0,1093140861,02/03 às 13:55,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/aluguel-por-diaria-em-canasvieiras-1093140861,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,-27.4341817,-48.4581034
Alugo casa no loteamento jardins 3 - Palhoça,1400.0,Casa em rua pública,1,2,1,2,0,150,Rua Gervásio Timoteo Farias,Palhoça,Bela Vista,88132772,5.0,1153834348,02/03 às 15:03,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/alugo-casa-no-loteamento-jardins-3-palhoca-1153834348,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-27.6605147,-48.6989411
"Casa com 4 dormitórios para alugar, 315 m²  - Jurerê Internacional - Florianópolis/SC",16000.0,Casa em rua pública,315,4,5 ou mais,3,0,392,Rua dos Pargos,Florianópolis,Jurerê Internacional,88053345,20.0,1137842358,02/03 às 15:42,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-com-4-dormitorios-para-alugar-315-m--jurere-internacional-florianopolis-sc-1137842358,392,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-27.4364507,-48.5070233
FLORIANóPOLIS - Casa Padrão - Campeche,4650.0,Casa em rua pública,120,2,3,3,0,60,Servidão Ana Terra,Florianópolis,Campeche,88063540,20.0,1153864642,02/03 às 15:50,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-casa-padrao-campeche-1153864642,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-27.6708882,-48.4847781
FLORIANóPOLIS - Apartamento Padrão - Abraão,4500.0,Apartamento padrão,96,3,2,1,899,162,Rua João Meirelles - de 897/898 ao fim,Florianópolis,Abraão,88085201,21.0,1127139901,02/03 às 15:56,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-apartamento-padrao-abraao-1127139901,10950,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,
Apto 2 suítes anual canasvieiras ,2500.0,Apartamento padrão,76,2,3,2,650,100,Rodovia Tertuliano Brito Xavier - até 2421/2422,Florianópolis,Canasvieiras,88054600,20.0,1153870529,02/03 às 15:58,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apto-2-suites-anual-canasvieiras-1153870529,7900,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,,
FLORIANÓPOLIS - Casa Padrão - JURERÊ INTERNACIONAL,36000.0,Casa em rua pública,500,4,5 ou mais,4,0,0,Rua dos Peixes-Serra,Florianópolis,Jurerê Internacional,88053317,20.0,943852391,02/03 às 16:37,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-casa-padrao-jurere-internacional-943852391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.4355658,-48.5120331
Alugo Apartamento Mobiliado,1600.0,Apartamento padrão,54,2,1,1,450,55,Rua José Cosmo Pamplona,Palhoça,Bela Vista,88132700,0.0,1153901233,02/03 às 17:23,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/alugo-apartamento-mobiliado-1153901233,5455,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,,
Apto 2 Qtos Campeche,2000.0,Apartamento padrão,50,2,1,1,0,0,Rua Coruja Dourada,Florianópolis,Campeche,88066035,8.0,1153949519,02/03 às 20:16,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apto-2-qtos-campeche-1153949519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
Casa Jardim Atlântico,20000.0,Casa em rua pública,420,5 ou mais,5 ou mais,5 ou mais,0,29,Rua Luiz D'Acampora,Florianópolis,Jardim Atlântico,88095330,20.0,961458027,02/03 às 20:30,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-jardim-atlantico-961458027,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.5784601,-48.5952889
"APARTAMENTO AMPLO NO BAIRRO ITACORUBI, EM FLORIANÓPOLIS",4100.0,Apartamento padrão,98,3,2,2,800,148,Rua Acelon Pacheco da Costa,Florianópolis,Itacorubi,88034040,20.0,1141071311,02/03 às 21:04,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-amplo-no-bairro-itacorubi-em-florianopolis-1141071311,9748,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-27.5802586,-48.5104497
"Apartamento novo com vista para o mar - 02 dormitórios na Praia de Fora, Palhoça, SC",1200.0,Apartamento padrão,55,2,1,1,280,550,Rua Arcanjo Cândido da Silva,Palhoça,Praia de Fora,88138300,20.0,1153976450,02/03 às 21:42,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-novo-com-vista-para-o-mar-02-dormitorios-na-praia-de-fora-palhoca-sc-1153976450,3910,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,-27.7359895,-48.6378439
FLORIANóPOLIS - Apartamento Padrão - Centro,3500.0,Apartamento padrão,76,2,2,2,769,202,Rua Prefeito Coronel Antenor Mesquita,Florianópolis,Centro,88015150,11.0,1069327831,02/03 às 22:30,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-apartamento-padrao-centro-1069327831,9430,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-27.5904629,-48.5542109
"Casa para alugar no Rio Tavares 3 suítes, terraço, Florianópolis SC",10000.0,Casa em rua pública,300,3,2,2,0,0,Travessa da Benção,Florianópolis,Rio Tavares,88048394,20.0,1108168042,02/03 às 22:32,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-para-alugar-no-rio-tavares-3-suites-terraco-florianopolis-sc-1108168042,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-27.6556719,-48.4826491
"Apartamento para vender no Centro 4 quartos, Florianópolis SC",5700.0,Apartamento padrão,327,2,3,2,1800,7200,Praça Quinze de Novembro,Florianópolis,Centro,88010400,20.0,1048569399,02/03 às 22:33,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-para-vender-no-centro-4-quartos-florianopolis-sc-1048569399,28800,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,-27.59763875,-48.54985804631796
FLORIANÓPOLIS - Loft - CENTRO,7420.0,Loft/studio,60,1,1,1,790,195,Rua Desembargador Arno Hoeschl,Florianópolis,Centro,88015620,20.0,1131869899,02/03 às 22:50,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-loft-centro-1131869899,9675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIANóPOLIS - Apartamento Padrão - Saco Grande,6300.0,Apartamento padrão,171,3,3,3,1725,301,Rodovia Virgílio Várzea,Florianópolis,Saco Grande,88032001,21.0,1153995384,03/03 às 00:16,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-apartamento-padrao-saco-grande-1153995384,21001,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,-27.5439453,-48.4999498
FLORIANóPOLIS - Casa Padrão - Corrego Grande,3500.0,Casa em rua pública,120,3,3,1,0,57,Rua Ana Maria Nunes,Florianópolis,Córrego Grande,88037020,20.0,1153995929,03/03 às 00:17,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-casa-padrao-corrego-grande-1153995929,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-27.6017021,-48.5132881
"Apartamento para locação, semi mobiliado, 2 quartos, Campeche, FLORIANÓPOLIS-SC",4400.0,Apartamento padrão,84,1,2,1,800,150,Rua Heloisa Rojo Machado,Florianópolis,Campeche,88066066,20.0,1154001792,03/03 às 00:31,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-para-locacao-semi-mobiliado-2-quartos-campeche-florianopolis-sc-1154001792,9750,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,-27.7010513,-48.4981404
Casa com quintal em bairro calmo 100 m²,1950.0,Casa em rua pública,100,3,2,2,0,20,Rua Hercílio Garcia,Biguaçu,Cachoeiras (Guaporanga),88168628,20.0,1154002537,03/03 às 00:33,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-com-quintal-em-bairro-calmo-100-m-1154002537,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-27.3926889,-48.6342462
Apartamento 2 Quartos bairro Vendaval em Biguaçu 85m²,1300.0,Apartamento padrão,85,2,1,1,200,25,Servidão Maria Goreti Matias,Biguaçu,Vendaval,88164130,19.0,1154002751,03/03 às 00:34,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/apartamento-2-quartos-bairro-vendaval-em-biguacu-85m-1154002751,2425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-27.4919521,-48.6584521
Florianópolis - Apartamento Padrão - Centro,1800.0,Apartamento padrão,35,1,1,1,0,15,Rua Doutor Armando Valério de Assis,Florianópolis,Centro,88025120,18.0,1154005452,03/03 às 00:39,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-apartamento-padrao-centro-1154005452,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-27.5827484,-48.5409987
SãO JOSé - Apartamento Padrão - Barreiros,1650.0,Apartamento padrão,64,3,2,1,350,61,Rua Eugênio Portela,São José,Barreiros,88117010,15.0,1154008137,03/03 às 00:46,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/sao-jose-apartamento-padrao-barreiros-1154008137,4261,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-27.5798296,-48.6036483
FLORIANóPOLIS - Apartamento Padrão - Ribeirão da Ilha,2400.0,Apartamento padrão,27,1,1,1,0,0,Rua Alberto Cavalheiro,Florianópolis,Ribeirão da Ilha,88064670,20.0,1154012773,03/03 às 01:04,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-apartamento-padrao-ribeirao-da-ilha-1154012773,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-27.7195226,-48.5634788
FLORIANóPOLIS - Apartamento Padrão - Centro,9500.0,Apartamento padrão,279,3,4,1,1900,660,Avenida Mauro Ramos - de 1055 a 1595 - lado ímpar,Florianópolis,Centro,88020303,21.0,1154015635,03/03 às 01:17,https://sc.olx.com.br/florianopolis-e-regiao/imoveis/florianopolis-apartamento-padrao-centro-1154015635,23460,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,,
